DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),GROSS STORAGE (mcm),SPILL (mcm),RAIN (mm)
1-Aug-86,0.00,0.00,230.77,831.34,3.888,-1.00
2-Aug-86,0.00,0.00,230.92,834.91,3.888,-1.00
3-Aug-86,0.00,0.00,231.07,838.48,3.888,-1.00
4-Aug-86,0.00,0.00,231.13,839.92,3.888,-1.00
5-Aug-86,0.00,0.00,231.25,842.78,2.592,-1.00
6-Aug-86,2.77,0.52,231.35,845.18,2.592,-1.00
7-Aug-86,1.54,0.29,231.40,846.37,2.124,-1.00
8-Aug-86,2.33,0.44,231.58,850.69,2.61,-1.00
9-Aug-86,0.00,0.00,231.52,849.25,8.64,-1.00
10-Aug-86,0.00,0.00,231.38,845.89,8.64,-1.00
11-Aug-86,0.00,0.00,231.18,841.11,10.476,-1.00
12-Aug-86,0.17,0.03,231.10,839.20,2.88,-1.00
13-Aug-86,1.33,0.25,231.20,841.59,0,-1.00
14-Aug-86,4.60,0.86,231.40,846.37,0,-1.00
15-Aug-86,6.08,1.14,231.32,844.46,0,-1.00
16-Aug-86,6.72,1.26,231.30,843.98,0,-1.00
17-Aug-86,5.51,1.03,231.18,841.11,0,-1.00
18-Aug-86,6.55,1.22,231.10,839.20,0,-1.00
19-Aug-86,4.38,0.82,230.97,836.10,0,-1.00
20-Aug-86,8.15,1.52,230.90,834.43,0,-1.00
21-Aug-86,7.65,1.42,230.77,831.34,0,-1.00
22-Aug-86,6.04,1.12,230.63,828.02,0,-1.00
23-Aug-86,7.52,1.39,230.50,824.94,0,-1.00
24-Aug-86,5.16,0.96,230.48,824.46,0,-1.00
25-Aug-86,7.48,1.38,230.32,820.68,0,-1.00
26-Aug-86,7.86,1.45,230.27,819.50,0,-1.00
27-Aug-86,4.57,0.84,230.10,815.49,0,-1.00
28-Aug-86,7.80,1.44,230.10,815.49,0,-1.00
29-Aug-86,7.78,1.43,229.90,810.79,0,-1.00
30-Aug-86,6.99,1.28,229.75,807.26,0,-1.00
31-Aug-86,7.80,1.43,229.60,803.75,0,-1.00
1-Sep-86,7.31,1.33,229.42,799.54,0,-1.00
2-Sep-86,7.31,1.33,229.35,797.91,0,-1.00
3-Sep-86,7.89,1.44,229.20,794.42,0,-1.00
4-Sep-86,7.91,1.44,229.05,790.93,0,-1.00
5-Sep-86,7.73,1.40,228.90,787.45,0,-1.00
6-Sep-86,4.87,0.88,228.77,784.44,0,-1.00
7-Sep-86,6.83,1.23,228.75,783.98,0,-1.00
8-Sep-86,6.30,1.14,228.62,780.97,0,-1.00
9-Sep-86,7.55,1.36,228.52,778.66,0,-1.00
10-Sep-86,7.55,1.36,228.40,775.90,0,-1.00
11-Sep-86,4.44,0.80,228.25,772.45,0,-1.00
12-Sep-86,7.09,1.27,228.28,773.14,0,-1.00
13-Sep-86,8.53,1.53,228.15,770.15,0,-1.00
14-Sep-86,7.41,1.33,228.00,766.72,0,-1.00
15-Sep-86,6.55,1.17,227.90,764.43,0,-1.00
16-Sep-86,7.18,1.28,227.70,759.86,0,-1.00
17-Sep-86,7.69,1.37,227.55,756.45,0,-1.00
18-Sep-86,5.18,0.92,227.32,751.22,0,-1.00
19-Sep-86,5.06,0.90,227.28,750.32,0,-1.00
20-Sep-86,6.61,1.17,227.42,753.49,0,-1.00
21-Sep-86,6.35,1.12,227.20,748.51,0,-1.00
22-Sep-86,7.04,1.24,227.00,743.99,0,-1.00
23-Sep-86,5.60,0.99,226.87,741.06,0,-1.00
24-Sep-86,6.00,1.06,226.77,738.80,0,-1.00
25-Sep-86,8.25,1.45,226.52,733.19,0,-1.00
26-Sep-86,6.69,1.17,226.28,727.82,0,-1.00
27-Sep-86,6.63,1.16,226.10,723.81,0,-1.00
28-Sep-86,6.72,1.17,225.95,720.47,0,-1.00
29-Sep-86,7.82,1.36,225.77,716.47,0,-1.00
30-Sep-86,7.37,1.28,225.58,712.27,0,-1.00
1-Oct-86,7.07,1.22,225.25,704.99,0,-1.00
2-Oct-86,6.90,1.19,225.02,699.94,0,-1.00
3-Oct-86,8.49,1.45,224.80,695.13,0,-1.00
4-Oct-86,9.51,1.62,224.52,689.03,0,-1.00
5-Oct-86,5.36,0.91,224.32,684.69,0,-1.00
6-Oct-86,5.31,0.90,224.25,683.17,0,-1.00
7-Oct-86,7.05,1.19,224.08,679.49,0,-1.00
8-Oct-86,6.18,1.04,223.92,676.04,0,-1.00
9-Oct-86,7.72,1.30,223.77,672.81,0,-1.00
10-Oct-86,7.89,1.33,223.55,668.09,0,-1.00
11-Oct-86,7.60,1.28,223.48,666.59,0,-1.00
12-Oct-86,7.27,1.22,223.38,664.45,0,-1.00
13-Oct-86,7.05,1.18,223.27,662.11,0,-1.00
14-Oct-86,5.84,0.98,223.70,671.31,0,-1.00
15-Oct-86,6.72,1.12,223.17,659.98,0,-1.00
16-Oct-86,6.22,1.04,223.12,658.91,0,-1.00
17-Oct-86,6.64,1.11,223.05,657.42,0,-1.00
18-Oct-86,6.89,1.15,222.86,653.39,0,-1.00
19-Oct-86,5.87,0.98,222.80,652.12,0,-1.00
20-Oct-86,3.81,0.64,222.93,654.87,0,-1.00
21-Oct-86,3.87,0.64,222.98,655.94,0,-1.00
22-Oct-86,4.43,0.74,223.10,658.49,0,-1.00
23-Oct-86,4.63,0.77,223.09,658.27,0,-1.00
24-Oct-86,1.83,0.31,223.10,658.49,0,-1.00
25-Oct-86,1.91,0.32,223.18,660.19,0,-1.00
26-Oct-86,0.00,0.00,223.42,665.31,0,-1.00
27-Oct-86,0.00,0.00,223.72,671.74,0,-1.00
28-Oct-86,1.80,0.31,224.00,677.76,0,-1.00
29-Oct-86,4.39,0.74,224.03,678.41,0,-1.00
30-Oct-86,4.35,0.74,224.05,678.84,0,-1.00
31-Oct-86,4.43,0.75,224.00,677.76,0,-1.00
1-Nov-86,2.16,0.37,224.10,679.92,0,-1.00
2-Nov-86,2.17,0.37,224.20,682.09,0,-1.00
3-Nov-86,2.44,0.41,224.20,682.09,0,-1.00
4-Nov-86,1.75,0.30,224.40,686.42,0,-1.00
5-Nov-86,1.32,0.23,224.67,692.29,0,-1.00
6-Nov-86,1.46,0.25,225.00,699.51,0,-1.00
7-Nov-86,1.31,0.23,225.34,706.97,0,-1.00
8-Nov-86,1.45,0.25,225.50,710.50,0,-1.00
9-Nov-86,1.24,0.22,225.70,714.92,0,-1.00
10-Nov-86,1.79,0.31,226.02,722.03,0,-1.00
11-Nov-86,3.96,0.69,226.36,729.61,0,-1.00
12-Nov-86,4.25,0.74,226.48,732.29,0,-1.00
13-Nov-86,4.11,0.72,226.73,737.90,0,-1.00
14-Nov-86,3.26,0.57,226.80,739.48,0,-1.00
15-Nov-86,3.14,0.55,226.83,740.15,0,-1.00
16-Nov-86,3.16,0.56,226.72,737.68,0,-1.00
17-Nov-86,4.20,0.74,226.65,736.11,0,-1.00
18-Nov-86,4.21,0.74,226.80,739.48,0,-1.00
19-Nov-86,4.23,0.75,226.90,741.73,0,-1.00
20-Nov-86,5.03,0.89,227.15,747.38,0,-1.00
21-Nov-86,5.08,0.90,227.40,753.04,0,-1.00
22-Nov-86,5.72,1.03,228.60,780.51,0,-1.00
23-Nov-86,6.53,1.18,228.65,781.66,0,-1.00
24-Nov-86,9.04,1.61,227.60,757.59,0,-1.00
25-Nov-86,10.74,1.91,227.50,755.31,0,-1.00
26-Nov-86,11.73,2.08,227.30,750.77,0,-1.00
27-Nov-86,10.85,1.92,227.10,746.24,0,-1.00
28-Nov-86,9.52,1.68,227.05,745.12,0,-1.00
29-Nov-86,8.65,1.53,226.90,741.73,0,-1.00
30-Nov-86,6.66,1.17,226.85,740.60,0,-1.00
1-Dec-86,9.18,1.62,226.95,742.86,0,0.00
2-Dec-86,10.27,1.81,227.05,745.12,0,0.00
3-Dec-86,10.43,1.84,226.95,742.86,0,0.00
4-Dec-86,10.54,1.86,226.85,740.60,0,0.00
5-Dec-86,10.76,1.89,226.80,739.48,0,10.00
6-Dec-86,10.35,1.82,226.70,737.23,0,28.20
7-Dec-86,10.32,1.81,226.60,734.99,0,10.50
8-Dec-86,6.27,1.10,226.40,730.50,0,0.00
9-Dec-86,8.80,1.55,226.65,736.11,0,1.20
10-Dec-86,14.54,2.55,226.55,733.86,0,26.30
11-Dec-86,11.92,2.08,226.35,729.39,0,17.20
12-Dec-86,10.62,1.86,226.25,727.15,0,2.50
13-Dec-86,14.23,2.48,226.00,721.58,0,0.00
14-Dec-86,12.09,2.10,225.75,716.03,0,9.90
15-Dec-86,10.81,1.87,225.48,710.06,0,23.00
16-Dec-86,14.57,2.51,225.18,703.46,0,16.10
17-Dec-86,9.56,1.64,225.12,702.14,0,0.00
18-Dec-86,12.16,2.09,225.05,700.60,0,0.00
19-Dec-86,12.57,2.15,224.78,694.69,0,0.00
20-Dec-86,11.06,1.89,224.60,690.77,0,34.00
21-Dec-86,9.57,1.63,224.40,686.42,0,32.10
22-Dec-86,13.11,2.22,224.20,682.09,0,19.40
23-Dec-86,12.39,2.10,224.00,677.76,0,19.70
24-Dec-86,11.55,1.95,223.75,672.38,0,34.00
25-Dec-86,8.64,1.45,223.45,665.95,0,0.00
26-Dec-86,9.42,1.57,223.00,656.36,0,0.00
27-Dec-86,10.50,1.75,223.18,660.19,0,3.70
28-Dec-86,8.36,1.39,222.95,655.30,0,0.80
29-Dec-86,11.02,1.83,222.85,653.18,0,21.10
30-Dec-86,11.43,1.90,222.85,653.18,0,41.00
31-Dec-86,11.09,1.84,222.68,649.58,0,20.00
1-Jan-87,10.51,1.74,222.60,647.89,0,0.00
2-Jan-87,9.98,1.65,222.40,643.68,0,0.00
3-Jan-87,8.55,1.41,222.20,639.48,0,0.00
4-Jan-87,6.95,1.14,222.00,635.30,0,1.40
5-Jan-87,8.81,1.45,221.95,634.25,0,0.00
6-Jan-87,9.80,1.60,221.75,630.08,0,0.00
7-Jan-87,8.75,1.43,221.60,626.97,0,8.40
8-Jan-87,8.87,1.45,221.50,624.89,0,11.30
9-Jan-87,9.67,1.57,221.35,621.79,0,1.50
10-Jan-87,8.38,1.36,221.28,620.34,0,7.70
11-Jan-87,9.68,1.57,221.20,618.69,0,4.40
12-Jan-87,9.09,1.47,221.00,614.58,0,10.10
13-Jan-87,11.63,1.88,220.90,612.53,0,18.40
14-Jan-87,7.53,1.21,220.70,608.43,0,48.50
15-Jan-87,8.35,1.35,220.80,610.48,0,19.40
16-Jan-87,11.00,1.77,220.75,609.45,0,21.50
17-Jan-87,8.93,1.44,220.65,607.41,0,16.50
18-Jan-87,7.26,1.17,220.60,606.39,0,7.60
19-Jan-87,11.02,1.77,220.60,606.39,0,4.90
