DATE,DAILY INFLOW (mcm),,,,,,
1-Jan-87,10.51,,,,,,
2-Jan-87,9.98,,,,,,
3-Jan-87,8.55,,,,,,
4-Jan-87,6.95,,,,,,
5-Jan-87,8.81,,,,,,
6-Jan-87,9.80,,,,,,
7-Jan-87,8.75,,,,,,
8-Jan-87,8.87,,,,,,
9-Jan-87,9.67,,,,,,
10-Jan-87,8.38,,,,,,
11-Jan-87,9.68,,,,,,
12-Jan-87,9.09,,,,,,
13-Jan-87,11.63,,,,,,
14-Jan-87,7.53,,,,,,
15-Jan-87,8.35,,,,,,
16-Jan-87,11.00,,,,,,
17-Jan-87,8.93,,,,,,
18-Jan-87,7.26,,,,,,
19-Jan-87,11.02,,,,,,
20-Jan-87,10.65,,,,,,
21-Jan-87,11.71,,,,,,
22-Jan-87,11.32,,,,,,
23-Jan-87,11.15,,,,,,
24-Jan-87,9.75,,,,,,
25-Jan-87,7.85,,,,,,
26-Jan-87,10.47,,,,,,
27-Jan-87,11.74,,,,,,
28-Jan-87,12.47,,,,,,
29-Jan-87,13.87,,,,,,
30-Jan-87,12.73,,,,,,
31-Jan-87,13.42,,,,,,
1-Feb-87,8.45,,,,,,
2-Feb-87,12.32,,,,,,
3-Feb-87,11.89,,,,,,
4-Feb-87,7.06,,,,,,
5-Feb-87,9.75,,,,,,
6-Feb-87,4.37,,,,,,
7-Feb-87,11.96,,,,,,
8-Feb-87,8.27,,,,,,
9-Feb-87,11.85,,,,,,
10-Feb-87,11.48,,,,,,
11-Feb-87,6.87,,,,,,
12-Feb-87,6.78,,,,,,
13-Feb-87,9.25,,,,,,
14-Feb-87,8.15,,,,,,
15-Feb-87,7.48,,,,,,
16-Feb-87,11.24,,,,,,
17-Feb-87,12.78,,,,,,
18-Feb-87,10.51,,,,,,
19-Feb-87,13.21,,,,,,
20-Feb-87,13.14,,,,,,
21-Feb-87,13.09,,,,,,
22-Feb-87,12.92,,,,,,
23-Feb-87,12.91,,,,,,
24-Feb-87,12.71,,,,,,
25-Feb-87,12.56,,,,,,
26-Feb-87,12.59,,,,,,
27-Feb-87,12.55,,,,,,
28-Feb-87,5.48,,,,,,
1-Mar-87,3.49,,,,,,
2-Mar-87,12.28,,,,,,
3-Mar-87,12.36,,,,,,
4-Mar-87,12.36,,,,,,
5-Mar-87,12.26,,,,,,
6-Mar-87,12.32,,,,,,
7-Mar-87,12.10,,,,,,
8-Mar-87,11.67,,,,,,
9-Mar-87,11.74,,,,,,
10-Mar-87,11.66,,,,,,
11-Mar-87,11.16,,,,,,
12-Mar-87,11.53,,,,,,
13-Mar-87,11.49,,,,,,
14-Mar-87,11.49,,,,,,
15-Mar-87,10.86,,,,,,
16-Mar-87,11.28,,,,,,
17-Mar-87,11.05,,,,,,
18-Mar-87,11.18,,,,,,
19-Mar-87,11.11,,,,,,
20-Mar-87,10.70,,,,,,
21-Mar-87,10.73,,,,,,
22-Mar-87,7.97,,,,,,
23-Mar-87,10.04,,,,,,
24-Mar-87,10.06,,,,,,
25-Mar-87,8.58,,,,,,
26-Mar-87,7.67,,,,,,
27-Mar-87,5.32,,,,,,
28-Mar-87,4.58,,,,,,
29-Mar-87,2.11,,,,,,
30-Mar-87,6.81,,,,,,
31-Mar-87,7.29,,,,,,
1-Apr-87,7.16,,,,,,
2-Apr-87,7.15,,,,,,
3-Apr-87,7.00,,,,,,
4-Apr-87,6.47,,,,,,
5-Apr-87,2.02,,,,,,
6-Apr-87,2.43,,,,,,
7-Apr-87,4.80,,,,,,
8-Apr-87,1.58,,,,,,
9-Apr-87,3.04,,,,,,
10-Apr-87,1.98,,,,,,
11-Apr-87,1.22,,,,,,
12-Apr-87,0.35,,,,,,
13-Apr-87,0.94,,,,,,
14-Apr-87,0.00,,,,,,
15-Apr-87,1.17,,,,,,
16-Apr-87,1.05,,,,,,
17-Apr-87,0.00,,,,,,
18-Apr-87,0.65,,,,,,
19-Apr-87,0.00,,,,,,
20-Apr-87,1.76,,,,,,
21-Apr-87,4.63,,,,,,
22-Apr-87,1.72,,,,,,
23-Apr-87,4.47,,,,,,
24-Apr-87,2.23,,,,,,
25-Apr-87,2.54,,,,,,
26-Apr-87,1.28,,,,,,
27-Apr-87,3.83,,,,,,
28-Apr-87,1.39,,,,,,
29-Apr-87,2.26,,,,,,
30-Apr-87,2.05,,,,,,
1-May-87,1.71,,,,,,
2-May-87,4.64,,,,,,
3-May-87,3.22,,,,,,
4-May-87,3.72,,,,,,
5-May-87,4.05,,,,,,
6-May-87,3.17,,,,,,
7-May-87,4.13,,,,,,
8-May-87,1.21,,,,,,
9-May-87,1.32,,,,,,
10-May-87,1.66,,,,,,
11-May-87,1.78,,,,,,
12-May-87,3.38,,,,,,
13-May-87,0.83,,,,,,
14-May-87,1.73,,,,,,
15-May-87,1.65,,,,,,
16-May-87,1.72,,,,,,
17-May-87,1.69,,,,,,
18-May-87,1.60,,,,,,
19-May-87,1.87,,,,,,
20-May-87,1.34,,,,,,
21-May-87,1.39,,,,,,
22-May-87,1.14,,,,,,
23-May-87,1.27,,,,,,
24-May-87,1.34,,,,,,
25-May-87,1.34,,,,,,
26-May-87,1.27,,,,,,
27-May-87,1.26,,,,,,
28-May-87,1.30,,,,,,
29-May-87,2.03,,,,,,
30-May-87,3.98,,,,,,
31-May-87,3.92,,,,,,
1-Jun-87,3.97,,,,,,
2-Jun-87,3.76,,,,,,
3-Jun-87,3.21,,,,,,
4-Jun-87,3.06,,,,,,
5-Jun-87,3.05,,,,,,
6-Jun-87,3.02,,,,,,
7-Jun-87,1.15,,,,,,
8-Jun-87,2.37,,,,,,
9-Jun-87,2.67,,,,,,
10-Jun-87,2.71,,,,,,
11-Jun-87,1.62,,,,,,
12-Jun-87,2.55,,,,,,
13-Jun-87,1.88,,,,,,
14-Jun-87,1.77,,,,,,
15-Jun-87,1.35,,,,,,
16-Jun-87,1.01,,,,,,
17-Jun-87,1.01,,,,,,
18-Jun-87,1.00,,,,,,
19-Jun-87,1.01,,,,,,
20-Jun-87,1.00,,,,,,
21-Jun-87,1.02,,,,,,
22-Jun-87,1.48,,,,,,
23-Jun-87,1.50,,,,,,
24-Jun-87,1.48,,,,,,
25-Jun-87,1.56,,,,,,
26-Jun-87,1.50,,,,,,
27-Jun-87,2.55,,,,,,
28-Jun-87,2.50,,,,,,
29-Jun-87,2.56,,,,,,
30-Jun-87,2.31,,,,,,
1-Jul-87,2.50,,,,,,
2-Jul-87,2.35,,,,,,
3-Jul-87,2.38,,,,,,
4-Jul-87,2.55,,,,,,
5-Jul-87,2.50,,,,,,
6-Jul-87,2.31,,,,,,
7-Jul-87,2.50,,,,,,
8-Jul-87,2.47,,,,,,
9-Jul-87,2.47,,,,,,
10-Jul-87,2.45,,,,,,
11-Jul-87,1.45,,,,,,
12-Jul-87,2.37,,,,,,
13-Jul-87,3.02,,,,,,
14-Jul-87,3.29,,,,,,
15-Jul-87,3.31,,,,,,
16-Jul-87,3.42,,,,,,
17-Jul-87,3.40,,,,,,
18-Jul-87,3.25,,,,,,
19-Jul-87,3.34,,,,,,
20-Jul-87,3.48,,,,,,
21-Jul-87,2.24,,,,,,
22-Jul-87,4.02,,,,,,
23-Jul-87,4.15,,,,,,
24-Jul-87,4.14,,,,,,
25-Jul-87,4.23,,,,,,
26-Jul-87,4.26,,,,,,
27-Jul-87,4.20,,,,,,
28-Jul-87,4.18,,,,,,
29-Jul-87,4.24,,,,,,
30-Jul-87,2.95,,,,,,
31-Jul-87,2.72,,,,,,
1-Aug-87,2.83,,,,,,
2-Aug-87,2.00,,,,,,
3-Aug-87,0.00,,,,,,
4-Aug-87,0.00,,,,,,
5-Aug-87,0.00,,,,,,
6-Aug-87,0.00,,,,,,
7-Aug-87,0.00,,,,,,
8-Aug-87,0.00,,,,,,
9-Aug-87,0.00,,,,,,
10-Aug-87,0.00,,,,,,
11-Aug-87,0.00,,,,,,
12-Aug-87,0.00,,,,,,
13-Aug-87,0.00,,,,,,
14-Aug-87,0.00,,,,,,
15-Aug-87,0.00,,,,,,
16-Aug-87,0.00,,,,,,
17-Aug-87,0.00,,,,,,
18-Aug-87,0.00,,,,,,
19-Aug-87,0.00,,,,,,
20-Aug-87,0.00,,,,,,
21-Aug-87,0.00,,,,,,
22-Aug-87,0.00,,,,,,
23-Aug-87,0.00,,,,,,
