DATE,POWER FLOW (mcm),ENERGY (GWh),RES ELEV (m),SPILL (mcm),GROSS STORAGE (mcm),RAIN (mm)
1-Sep-84,0.00,0.00,424.16,-1.00,441.60,-1.00
2-Sep-84,0.00,0.00,424.17,-1.00,441.70,-1.00
3-Sep-84,0.01,0.01,424.28,-1.00,443.50,-1.00
4-Sep-84,0.07,0.03,424.30,-1.00,443.80,-1.00
5-Sep-84,0.24,0.11,424.35,-1.00,444.60,-1.00
6-Sep-84,0.20,0.09,424.34,-1.00,444.40,-1.00
7-Sep-84,0.00,0.00,424.38,-1.00,445.10,-1.00
8-Sep-84,0.00,0.00,424.38,-1.00,445.10,-1.00
9-Sep-84,0.00,0.00,424.38,-1.00,445.10,-1.00
10-Sep-84,0.55,0.25,424.38,-1.00,445.10,-1.00
11-Sep-84,0.20,0.09,424.35,-1.00,444.60,-1.00
12-Sep-84,0.00,0.00,424.32,-1.00,444.12,-1.00
13-Sep-84,0.00,0.00,424.31,-1.00,443.96,-1.00
14-Sep-84,0.00,0.00,424.32,-1.00,444.12,-1.00
15-Sep-84,0.30,0.14,424.31,-1.00,443.96,-1.00
16-Sep-84,0.00,0.00,424.21,-1.00,442.36,-1.00
17-Sep-84,0.15,0.07,424.35,-1.00,444.60,-1.00
18-Sep-84,0.27,0.13,424.34,-1.00,444.40,-1.00
19-Sep-84,3.61,1.67,424.15,-1.00,441.40,-1.00
20-Sep-84,3.32,1.54,423.99,-1.00,438.84,-1.00
21-Sep-84,1.96,0.91,423.86,-1.00,436.76,-1.00
22-Sep-84,0.00,0.00,424.13,-1.00,441.08,-1.00
23-Sep-84,0.00,0.00,424.41,-1.00,445.56,-1.00
24-Sep-84,0.00,0.00,424.86,-1.00,452.76,-1.00
25-Sep-84,0.00,0.00,425.19,-1.00,458.42,-1.00
26-Sep-84,0.00,0.00,425.29,-1.00,460.22,-1.00
27-Sep-84,0.00,0.00,425.38,-1.00,461.84,-1.00
28-Sep-84,0.00,0.00,426.01,-1.00,473.18,-1.00
29-Sep-84,0.00,0.00,428.30,-1.00,514.90,-1.00
30-Sep-84,0.00,0.00,428.53,-1.00,518.54,-1.00
1-Oct-84,0.00,0.00,428.48,-1.00,517.64,-1.00
2-Oct-84,0.00,0.00,428.45,-1.00,517.10,-1.00
3-Oct-84,0.00,0.00,428.50,-1.00,518.00,-1.00
4-Oct-84,0.00,0.00,428.38,-1.00,515.84,-1.00
5-Oct-84,0.00,0.00,428.18,-1.00,512.24,-1.00
6-Oct-84,0.00,0.00,428.46,-1.00,517.28,-1.00
7-Oct-84,0.00,0.00,428.52,-1.00,518.36,-1.00
8-Oct-84,0.00,0.00,428.39,-1.00,516.02,-1.00
9-Oct-84,0.00,0.00,428.46,-1.00,517.28,-1.00
10-Oct-84,0.00,0.00,428.43,-1.00,516.74,-1.00
11-Oct-84,0.00,0.00,428.41,-1.00,516.38,-1.00
12-Oct-84,0.00,0.00,428.40,-1.00,516.11,-1.00
13-Oct-84,0.00,0.00,428.43,-1.00,516.74,-1.00
14-Oct-84,0.00,0.00,428.43,-1.00,516.74,-1.00
15-Oct-84,0.00,0.00,428.42,-1.00,516.56,-1.00
16-Oct-84,0.00,0.00,428.42,-1.00,516.56,-1.00
17-Oct-84,0.00,0.00,428.43,-1.00,516.74,-1.00
18-Oct-84,0.00,0.00,428.47,-1.00,517.46,-1.00
19-Oct-84,0.00,0.00,428.51,-1.00,518.18,-1.00
20-Oct-84,0.00,0.00,428.54,-1.00,518.72,-1.00
21-Oct-84,0.00,0.00,428.58,-1.00,519.90,-1.00
22-Oct-84,0.00,0.00,428.67,-1.00,521.06,-1.00
23-Oct-84,0.00,0.00,428.80,-1.00,523.40,-1.00
24-Oct-84,0.00,0.00,428.87,-1.00,524.66,-1.00
25-Oct-84,0.00,0.00,428.90,-1.00,525.20,-1.00
26-Oct-84,0.00,0.00,428.93,-1.00,525.74,-1.00
27-Oct-84,0.00,0.00,428.95,-1.00,526.10,-1.00
28-Oct-84,0.00,0.00,429.01,-1.00,527.18,-1.00
29-Oct-84,0.12,0.06,429.19,-1.00,530.42,-1.00
30-Oct-84,0.00,0.00,429.55,-1.00,536.90,-1.00
31-Oct-84,0.40,0.19,429.70,-1.00,539.60,-1.00
1-Nov-84,0.00,0.00,429.72,-1.00,539.96,-1.00
2-Nov-84,0.00,0.00,429.74,-1.00,540.32,-1.00
3-Nov-84,0.00,0.00,429.77,-1.00,540.86,-1.00
4-Nov-84,0.00,0.00,429.80,-1.00,541.90,-1.00
5-Nov-84,0.00,0.00,429.85,-1.00,542.30,-1.00
6-Nov-84,0.00,0.00,429.93,-1.00,543.70,-1.00
7-Nov-84,0.00,0.00,430.15,-1.00,548.10,-1.00
8-Nov-84,1.45,0.69,430.19,-1.00,548.99,-1.00
9-Nov-84,3.56,1.70,430.14,-1.00,547.94,-1.00
10-Nov-84,3.34,1.60,430.04,-1.00,545.80,-1.00
11-Nov-84,2.24,1.07,429.91,-1.00,543.38,-1.00
12-Nov-84,0.00,0.00,429.91,-1.00,543.38,-1.00
13-Nov-84,0.00,0.00,429.92,-1.00,543.56,-1.00
14-Nov-84,0.00,0.00,430.02,-1.00,545.42,-1.00
15-Nov-84,0.00,0.00,430.26,-1.00,550.46,-1.00
16-Nov-84,1.39,0.66,430.47,-1.00,554.87,-1.00
17-Nov-84,3.50,1.68,430.39,-1.00,553.18,-1.00
18-Nov-84,3.48,1.67,430.26,-1.00,550.52,-1.00
19-Nov-84,3.53,1.69,430.17,-1.00,548.66,-1.00
20-Nov-84,3.45,1.65,430.21,-1.00,549.41,-1.00
21-Nov-84,3.50,1.68,430.33,-1.00,551.99,-1.00
22-Nov-84,3.48,1.67,430.26,-1.00,550.40,-1.00
23-Nov-84,3.31,1.59,430.17,-1.00,548.66,-1.00
24-Nov-84,3.20,1.53,430.10,-1.00,547.10,-1.00
25-Nov-84,3.44,1.65,429.99,-1.00,545.89,-1.00
26-Nov-84,3.88,1.86,429.91,-1.00,543.38,-1.00
27-Nov-84,3.34,1.60,429.91,-1.00,543.38,-1.00
28-Nov-84,3.45,1.65,429.93,-1.00,543.76,-1.00
29-Nov-84,4.16,1.99,430.35,-1.00,552.35,-1.00
30-Nov-84,4.31,2.06,430.50,-1.00,555.52,-1.00
1-Dec-84,1.94,0.93,430.44,-1.00,554.80,-1.00
2-Dec-84,0.00,0.00,430.47,-1.00,554.80,-1.00
3-Dec-84,2.54,1.22,430.56,-1.00,554.90,-1.00
4-Dec-84,3.82,1.83,430.47,-1.00,554.80,-1.00
5-Dec-84,4.26,2.04,430.40,-1.00,553.00,-1.00
6-Dec-84,3.40,1.63,430.40,-1.00,553.40,-1.00
7-Dec-84,3.38,1.62,430.40,-1.00,553.40,-1.00
8-Dec-84,3.64,1.74,430.43,-1.00,554.00,-1.00
9-Dec-84,3.65,1.75,430.39,-1.00,553.40,-1.00
10-Dec-84,4.26,2.04,430.37,-1.00,553.60,-1.00
11-Dec-84,3.58,1.71,430.37,-1.00,552.70,-1.00
12-Dec-84,3.42,1.64,430.24,-1.00,550.10,-1.00
13-Dec-84,4.01,1.92,430.13,-1.00,547.00,-1.00
14-Dec-84,3.99,1.91,429.98,-1.00,544.60,-1.00
15-Dec-84,4.27,2.04,429.82,-1.00,541.50,-1.00
16-Dec-84,3.75,1.79,429.80,-1.00,541.30,-1.00
17-Dec-84,4.54,2.17,429.74,-1.00,540.00,-1.00
18-Dec-84,4.12,1.96,429.00,-1.00,527.00,-1.00
19-Dec-84,4.56,2.17,429.22,-1.00,530.00,-1.00
