DATE,DAILY INFLOW (mcm),,,,,,,
1-Jan-87,3.67,,,,,,,
2-Jan-87,3.75,,,,,,,
3-Jan-87,2.98,,,,,,,
4-Jan-87,2.51,,,,,,,
5-Jan-87,4.68,,,,,,,
6-Jan-87,4.79,,,,,,,
7-Jan-87,3.86,,,,,,,
8-Jan-87,5.92,,,,,,,
9-Jan-87,5.27,,,,,,,
10-Jan-87,4.33,,,,,,,
11-Jan-87,3.14,,,,,,,
12-Jan-87,4.88,,,,,,,
13-Jan-87,4.95,,,,,,,
14-Jan-87,3.20,,,,,,,
15-Jan-87,4.81,,,,,,,
16-Jan-87,4.57,,,,,,,
17-Jan-87,4.54,,,,,,,
18-Jan-87,3.57,,,,,,,
19-Jan-87,5.24,,,,,,,
20-Jan-87,5.86,,,,,,,
21-Jan-87,5.75,,,,,,,
22-Jan-87,5.30,,,,,,,
23-Jan-87,5.20,,,,,,,
24-Jan-87,4.60,,,,,,,
25-Jan-87,3.53,,,,,,,
26-Jan-87,4.64,,,,,,,
27-Jan-87,6.29,,,,,,,
28-Jan-87,7.32,,,,,,,
29-Jan-87,6.10,,,,,,,
30-Jan-87,4.53,,,,,,,
31-Jan-87,4.83,,,,,,,
1-Feb-87,3.85,,,,,,,
2-Feb-87,5.03,,,,,,,
3-Feb-87,5.67,,,,,,,
4-Feb-87,4.32,,,,,,,
5-Feb-87,5.62,,,,,,,
6-Feb-87,7.03,,,,,,,
7-Feb-87,5.34,,,,,,,
8-Feb-87,3.95,,,,,,,
9-Feb-87,5.50,,,,,,,
10-Feb-87,6.41,,,,,,,
11-Feb-87,7.56,,,,,,,
12-Feb-87,7.23,,,,,,,
13-Feb-87,2.82,,,,,,,
14-Feb-87,4.65,,,,,,,
15-Feb-87,3.85,,,,,,,
16-Feb-87,5.80,,,,,,,
17-Feb-87,6.10,,,,,,,
18-Feb-87,7.01,,,,,,,
19-Feb-87,6.13,,,,,,,
20-Feb-87,6.83,,,,,,,
21-Feb-87,5.78,,,,,,,
22-Feb-87,3.74,,,,,,,
23-Feb-87,6.46,,,,,,,
24-Feb-87,7.83,,,,,,,
25-Feb-87,7.76,,,,,,,
26-Feb-87,6.84,,,,,,,
27-Feb-87,7.10,,,,,,,
28-Feb-87,6.90,,,,,,,
1-Mar-87,5.33,,,,,,,
2-Mar-87,5.65,,,,,,,
3-Mar-87,4.86,,,,,,,
4-Mar-87,5.47,,,,,,,
5-Mar-87,5.94,,,,,,,
6-Mar-87,5.44,,,,,,,
7-Mar-87,4.46,,,,,,,
8-Mar-87,3.18,,,,,,,
9-Mar-87,5.69,,,,,,,
10-Mar-87,6.67,,,,,,,
11-Mar-87,6.26,,,,,,,
12-Mar-87,4.99,,,,,,,
13-Mar-87,5.99,,,,,,,
14-Mar-87,3.63,,,,,,,
15-Mar-87,1.94,,,,,,,
16-Mar-87,5.66,,,,,,,
17-Mar-87,6.29,,,,,,,
18-Mar-87,6.01,,,,,,,
19-Mar-87,6.38,,,,,,,
20-Mar-87,6.40,,,,,,,
21-Mar-87,4.87,,,,,,,
22-Mar-87,2.81,,,,,,,
23-Mar-87,5.77,,,,,,,
24-Mar-87,6.11,,,,,,,
25-Mar-87,7.83,,,,,,,
26-Mar-87,5.43,,,,,,,
27-Mar-87,3.25,,,,,,,
28-Mar-87,1.49,,,,,,,
29-Mar-87,0.86,,,,,,,
30-Mar-87,2.14,,,,,,,
31-Mar-87,2.57,,,,,,,
1-Apr-87,1.20,,,,,,,
2-Apr-87,2.02,,,,,,,
3-Apr-87,2.80,,,,,,,
4-Apr-87,1.83,,,,,,,
5-Apr-87,0.38,,,,,,,
6-Apr-87,1.17,,,,,,,
7-Apr-87,2.33,,,,,,,
8-Apr-87,3.69,,,,,,,
9-Apr-87,2.13,,,,,,,
10-Apr-87,0.97,,,,,,,
11-Apr-87,1.14,,,,,,,
12-Apr-87,1.15,,,,,,,
13-Apr-87,0.64,,,,,,,
14-Apr-87,0.89,,,,,,,
15-Apr-87,0.92,,,,,,,
16-Apr-87,0.77,,,,,,,
17-Apr-87,0.16,,,,,,,
18-Apr-87,0.63,,,,,,,
19-Apr-87,0.71,,,,,,,
20-Apr-87,1.04,,,,,,,
21-Apr-87,2.33,,,,,,,
22-Apr-87,0.90,,,,,,,
23-Apr-87,0.75,,,,,,,
24-Apr-87,2.55,,,,,,,
25-Apr-87,1.33,,,,,,,
26-Apr-87,0.58,,,,,,,
27-Apr-87,1.29,,,,,,,
28-Apr-87,1.93,,,,,,,
29-Apr-87,1.34,,,,,,,
30-Apr-87,1.60,,,,,,,
1-May-87,0.57,,,,,,,
2-May-87,2.12,,,,,,,
3-May-87,1.64,,,,,,,
4-May-87,2.55,,,,,,,
5-May-87,3.87,,,,,,,
6-May-87,2.51,,,,,,,
7-May-87,2.21,,,,,,,
8-May-87,1.85,,,,,,,
9-May-87,0.30,,,,,,,
10-May-87,0.23,,,,,,,
11-May-87,0.59,,,,,,,
12-May-87,0.77,,,,,,,
13-May-87,0.27,,,,,,,
14-May-87,0.29,,,,,,,
15-May-87,0.70,,,,,,,
16-May-87,0.65,,,,,,,
17-May-87,0.38,,,,,,,
18-May-87,0.76,,,,,,,
19-May-87,0.41,,,,,,,
20-May-87,0.58,,,,,,,
21-May-87,0.69,,,,,,,
22-May-87,0.35,,,,,,,
23-May-87,0.43,,,,,,,
24-May-87,0.14,,,,,,,
25-May-87,1.08,,,,,,,
26-May-87,0.87,,,,,,,
27-May-87,0.68,,,,,,,
28-May-87,0.99,,,,,,,
29-May-87,0.93,,,,,,,
30-May-87,2.50,,,,,,,
31-May-87,1.79,,,,,,,
1-Jun-87,2.29,,,,,,,
2-Jun-87,2.97,,,,,,,
3-Jun-87,2.55,,,,,,,
4-Jun-87,2.64,,,,,,,
5-Jun-87,2.96,,,,,,,
6-Jun-87,2.32,,,,,,,
7-Jun-87,3.79,,,,,,,
8-Jun-87,3.74,,,,,,,
9-Jun-87,2.15,,,,,,,
10-Jun-87,1.89,,,,,,,
11-Jun-87,0.69,,,,,,,
12-Jun-87,1.30,,,,,,,
13-Jun-87,1.03,,,,,,,
14-Jun-87,1.36,,,,,,,
15-Jun-87,0.95,,,,,,,
16-Jun-87,1.24,,,,,,,
17-Jun-87,1.85,,,,,,,
18-Jun-87,1.59,,,,,,,
19-Jun-87,1.71,,,,,,,
20-Jun-87,1.84,,,,,,,
21-Jun-87,1.54,,,,,,,
22-Jun-87,2.10,,,,,,,
23-Jun-87,1.37,,,,,,,
24-Jun-87,1.47,,,,,,,
25-Jun-87,1.35,,,,,,,
26-Jun-87,1.46,,,,,,,
27-Jun-87,1.69,,,,,,,
28-Jun-87,1.44,,,,,,,
29-Jun-87,2.92,,,,,,,
30-Jun-87,3.06,,,,,,,
1-Jul-87,3.23,,,,,,,
2-Jul-87,3.09,,,,,,,
3-Jul-87,3.20,,,,,,,
4-Jul-87,1.82,,,,,,,
5-Jul-87,2.65,,,,,,,
6-Jul-87,3.31,,,,,,,
7-Jul-87,3.14,,,,,,,
8-Jul-87,3.07,,,,,,,
9-Jul-87,3.22,,,,,,,
10-Jul-87,2.64,,,,,,,
11-Jul-87,1.85,,,,,,,
12-Jul-87,2.79,,,,,,,
13-Jul-87,3.16,,,,,,,
14-Jul-87,2.26,,,,,,,
15-Jul-87,0.41,,,,,,,
16-Jul-87,0.45,,,,,,,
17-Jul-87,0.43,,,,,,,
18-Jul-87,0.46,,,,,,,
19-Jul-87,0.00,,,,,,,
20-Jul-87,0.31,,,,,,,
21-Jul-87,0.51,,,,,,,
22-Jul-87,0.39,,,,,,,
23-Jul-87,0.22,,,,,,,
24-Jul-87,0.21,,,,,,,
25-Jul-87,0.38,,,,,,,
26-Jul-87,0.00,,,,,,,
27-Jul-87,0.29,,,,,,,
28-Jul-87,0.11,,,,,,,
29-Jul-87,0.15,,,,,,,
30-Jul-87,0.27,,,,,,,
31-Jul-87,0.26,,,,,,,
1-Aug-87,0.19,,,,,,,
2-Aug-87,0.00,,,,,,,
3-Aug-87,0.53,,,,,,,
4-Aug-87,0.82,,,,,,,
5-Aug-87,1.13,,,,,,,
6-Aug-87,0.71,,,,,,,
7-Aug-87,0.58,,,,,,,
8-Aug-87,0.54,,,,,,,
9-Aug-87,0.46,,,,,,,
10-Aug-87,0.73,,,,,,,
11-Aug-87,0.96,,,,,,,
12-Aug-87,0.71,,,,,,,
13-Aug-87,0.50,,,,,,,
14-Aug-87,2.48,,,,,,,
15-Aug-87,0.79,,,,,,,
16-Aug-87,0.29,,,,,,,
17-Aug-87,1.07,,,,,,,
18-Aug-87,1.14,,,,,,,
19-Aug-87,0.66,,,,,,,
20-Aug-87,0.94,,,,,,,
21-Aug-87,1.19,,,,,,,
22-Aug-87,0.90,,,,,,,
23-Aug-87,0.96,,,,,,,
24-Aug-87,1.08,,,,,,,
25-Aug-87,0.66,,,,,,,
26-Aug-87,1.54,,,,,,,
27-Aug-87,1.16,,,,,,,
28-Aug-87,1.87,,,,,,,
29-Aug-87,0.94,,,,,,,
30-Aug-87,1.47,,,,,,,
31-Aug-87,1.26,,,,,,,
1-Sep-87,1.56,,,,,,,
2-Sep-87,1.70,,,,,,,
3-Sep-87,1.45,,,,,,,
4-Sep-87,1.24,,,,,,,
5-Sep-87,1.58,,,,,,,
6-Sep-87,0.68,,,,,,,
7-Sep-87,0.97,,,,,,,
8-Sep-87,2.70,,,,,,,
9-Sep-87,4.52,,,,,,,
10-Sep-87,5.31,,,,,,,
11-Sep-87,4.14,,,,,,,
12-Sep-87,4.10,,,,,,,
13-Sep-87,2.60,,,,,,,
14-Sep-87,3.41,,,,,,,
15-Sep-87,4.94,,,,,,,
16-Sep-87,3.42,,,,,,,
17-Sep-87,4.61,,,,,,,
18-Sep-87,3.29,,,,,,,
19-Sep-87,2.80,,,,,,,
20-Sep-87,2.70,,,,,,,
21-Sep-87,3.08,,,,,,,
22-Sep-87,4.51,,,,,,,
23-Sep-87,3.24,,,,,,,
24-Sep-87,3.43,,,,,,,
25-Sep-87,4.77,,,,,,,
26-Sep-87,5.07,,,,,,,
27-Sep-87,2.36,,,,,,,
28-Sep-87,4.83,,,,,,,
29-Sep-87,4.50,,,,,,,
30-Sep-87,4.72,,,,,,,
1-Oct-87,6.03,,,,,,,
2-Oct-87,7.20,,,,,,,
3-Oct-87,5.35,,,,,,,
4-Oct-87,2.13,,,,,,,
5-Oct-87,5.11,,,,,,,
6-Oct-87,3.83,,,,,,,
7-Oct-87,5.14,,,,,,,
8-Oct-87,5.22,,,,,,,
9-Oct-87,4.46,,,,,,,
10-Oct-87,4.58,,,,,,,
11-Oct-87,2.76,,,,,,,
12-Oct-87,5.27,,,,,,,
13-Oct-87,5.18,,,,,,,
14-Oct-87,3.84,,,,,,,
15-Oct-87,4.08,,,,,,,
16-Oct-87,5.69,,,,,,,
17-Oct-87,5.15,,,,,,,
18-Oct-87,2.67,,,,,,,
19-Oct-87,3.86,,,,,,,
20-Oct-87,4.77,,,,,,,
21-Oct-87,6.03,,,,,,,
22-Oct-87,4.71,,,,,,,
23-Oct-87,5.60,,,,,,,
24-Oct-87,6.14,,,,,,,
25-Oct-87,3.14,,,,,,,
26-Oct-87,5.64,,,,,,,
27-Oct-87,4.78,,,,,,,
28-Oct-87,5.42,,,,,,,
29-Oct-87,5.55,,,,,,,
30-Oct-87,5.46,,,,,,,
31-Oct-87,8.60,,,,,,,
1-Nov-87,3.91,,,,,,,
2-Nov-87,6.92,,,,,,,
3-Nov-87,6.80,,,,,,,
4-Nov-87,4.48,,,,,,,
5-Nov-87,2.81,,,,,,,
6-Nov-87,4.22,,,,,,,
7-Nov-87,4.15,,,,,,,
8-Nov-87,2.16,,,,,,,
9-Nov-87,3.97,,,,,,,
10-Nov-87,2.89,,,,,,,
11-Nov-87,4.33,,,,,,,
12-Nov-87,3.84,,,,,,,
13-Nov-87,1.19,,,,,,,
14-Nov-87,3.38,,,,,,,
15-Nov-87,2.12,,,,,,,
16-Nov-87,2.63,,,,,,,
17-Nov-87,3.18,,,,,,,
18-Nov-87,4.12,,,,,,,
19-Nov-87,3.83,,,,,,,
20-Nov-87,4.65,,,,,,,
21-Nov-87,3.84,,,,,,,
22-Nov-87,3.48,,,,,,,
23-Nov-87,4.36,,,,,,,
24-Nov-87,3.74,,,,,,,
25-Nov-87,5.23,,,,,,,
26-Nov-87,5.18,,,,,,,
27-Nov-87,5.26,,,,,,,
28-Nov-87,4.01,,,,,,,
29-Nov-87,2.48,,,,,,,
30-Nov-87,3.62,,,,,,,
1-Dec-87,2.50,,,,,,,
2-Dec-87,2.05,,,,,,,
3-Dec-87,2.71,,,,,,,
4-Dec-87,1.16,,,,,,,
5-Dec-87,2.44,,,,,,,
6-Dec-87,2.04,,,,,,,
7-Dec-87,3.22,,,,,,,
8-Dec-87,2.96,,,,,,,
9-Dec-87,3.39,,,,,,,
10-Dec-87,3.37,,,,,,,
11-Dec-87,3.28,,,,,,,
12-Dec-87,3.59,,,,,,,
13-Dec-87,2.00,,,,,,,
14-Dec-87,1.86,,,,,,,
15-Dec-87,2.35,,,,,,,
16-Dec-87,2.56,,,,,,,
17-Dec-87,2.90,,,,,,,
18-Dec-87,3.31,,,,,,,
19-Dec-87,3.01,,,,,,,
20-Dec-87,1.57,,,,,,,
21-Dec-87,2.74,,,,,,,
22-Dec-87,3.42,,,,,,,
23-Dec-87,3.50,,,,,,,
24-Dec-87,1.84,,,,,,,
25-Dec-87,0.83,,,,,,,
26-Dec-87,0.57,,,,,,,
27-Dec-87,1.09,,,,,,,
28-Dec-87,1.48,,,,,,,
29-Dec-87,1.22,,,,,,,
30-Dec-87,0.92,,,,,,,
31-Dec-87,1.94,,,,,,,
1-Jan-88,1.06,,,,,,,
2-Jan-88,1.90,,,,,,,
3-Jan-88,1.23,,,,,,,
4-Jan-88,2.02,,,,,,,
5-Jan-88,1.49,,,,,,,
